ID;Id Delegacia (RDO);Número BO (RDO);Ano BO (RDO);Data do Acidente;Dia do Acidente;Mês do Acidente;Ano do Acidente;Ano/Mês do Acidente;Dia da semana;Hora do Acidente;Turno;Município;Região Administrativa;Logradouro;Numeral / KM;Jurisdição;Administração;Conservação;Tipo do Local do Acidente;Lat (GEO);Long (GEO);Iluminação da via (SIOPM);Superfície da Via (SIOPM);Tipo de pista (SIOPM);Outro Veículo Envolvido;Tipo de via;Condições Climáticas (SIOPM);Sentido da Via (SIOPM);Limite da velocidade da via (SIOPM);Quantidade de vítimas;Tempo entre o Acidente e as Mortes
3062726;100919;28931;2018;2018/12/29;29;DEZEMBRO;2018;2018.12;SÁBADO;07:46:00;MANHA;RIBEIRAO PRETO;Ribeirão Preto;RUA PARANA;805,0;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-21,15933;-47,823101;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;AUTOMOVEL;Vias Municipais;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;1;Até 30 dias
3062718;100919;28965;2018;2018/12/29;29;DEZEMBRO;2018;2018.12;SÁBADO;16:34:00;TARDE;RIBEIRAO PRETO;Ribeirão Preto;RUA GENERAL CAMARA;1007,0;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-21,149185;-47,822511;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;MOTOCICLETA;Vias Municipais;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;1;Até 30 dias
3062637;100919;28447;2018;2018/12/23;23;DEZEMBRO;2018;2018.12;DOMINGO;01:10:00;MADRUGADA;RIBEIRAO PRETO;Ribeirão Preto;RUA GENERAL CAMARA;1436,0;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-21,146155;-47,819802;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;Vias Municipais;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;1;Até 30 dias
3062501;100919;27864;2018;2018/12/16;16;DEZEMBRO;2018;2018.12;DOMINGO;01:50:00;MADRUGADA;RIBEIRAO PRETO;Ribeirão Preto;AVENIDA ETORE E AURORA CORAUCCI;NAO DISPONIVEL;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-21,126675;-47,830066;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;AUTOMOVEL;Vias Municipais;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;1;Até 30 dias
3062847;100919;27865;2018;2018/12/16;16;DEZEMBRO;2018;2018.12;DOMINGO;00:36:00;MADRUGADA;RIBEIRAO PRETO;Ribeirão Preto;RUA LAFAIETE;175,0;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-21,176732;-47,813546;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;AUTOMOVEL;Vias Municipais;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;1;Até 30 dias
3062514;100919;27914;2018;2018/12/16;16;DEZEMBRO;2018;2018.12;DOMINGO;15:00:00;TARDE;RIBEIRAO PRETO;Ribeirão Preto;RUA CORONEL AMERICO BATISTA;2840,0;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-21,138278;-47,828431;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;NÃO HÁ;Vias Municipais;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;1;Até 30 dias
3028093;100919;26032;2018;2018/11/24;24;NOVEMBRO;2018;2018.11;SÁBADO;13:30:00;TARDE;RIBEIRAO PRETO;Ribeirão Preto;AVENIDA EDUARDO ANDREIA MATARAZZO;3100,0;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-21,134037;-47,803425;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;NÃO HÁ;Vias Municipais;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;1;Até 30 dias
3028033;100919;25529;2018;2018/11/18;18;NOVEMBRO;2018;2018.11;DOMINGO;09:00:00;MANHA;RIBEIRAO PRETO;Ribeirão Preto;AVENIDA OCTAVIO GLOFETO;624,0;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-21,134876;-47,830032;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;NÃO HÁ;Vias Municipais;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;1;Até 30 dias
3027947;100919;25095;2018;2018/11/12;12;NOVEMBRO;2018;2018.11;SEGUNDA;22:45:00;NOITE;RIBEIRAO PRETO;Ribeirão Preto;RUA SALDANHA MARINHO;111,0;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-21,172209;-47,810018;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;AUTOMOVEL;Vias Municipais;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;1;Até 30 dias
3027815;100919;24128;2018;2018/11/02;2;NOVEMBRO;2018;2018.11;SEXTA;06:30:00;MANHA;RIBEIRAO PRETO;Ribeirão Preto;RUA CORONEL LUIS DA CUNHA;642,0;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-21,167687;-47,817767;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;AUTOMOVEL;Vias Municipais;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;1;Até 30 dias
